1

3028,1,1
3078,3,1
3161,1,2
3195,1,3
3209,1,4
3226,4,2
3226,4,3
3226,4,4
3267,4,2
3267,3,3
3329,3,2
3349,1,5
3353,1,6
3365,1,7
3370,3,4
3387,1,8
3394,1,9
3404,4,5
3404,3,6
3438,1,10
3440,4,5
3440,3,7
3477,4,5
3477,4,8
3477,3,9
3529,4,5
3529,3,8
3537,1,11
3548,2,5
3565,3,10
3581,1,12
3583,1,13
3592,1,14
3603,3,11
3637,1,15
3638,3,12
3662,3,13
3687,4,14
3687,3,15
3714,1,16
3722,3,14
3738,1,17
3762,3,16
3805,3,17
3810,1,18
3860,3,18
3880,1,19
3940,3,19
4055,1,20
4101,3,20
4111,1,21
4119,1,22
4161,3,21
4191,3,22
4197,1,23
4233,1,24
4239,1,25
4260,3,23
4299,1,26
4301,4,24
4301,3,25
4338,3,24
4390,1,27
4391,3,26
4435,3,27
4438,1,28
4507,1,29
4515,3,28
4520,1,30
4554,3,29
4556,1,31
4576,3,30
4619,3,31
4688,1,32
4733,3,32
4740,Wynik:3103
