0

652,1,1
691,1,2
715,1,3
736,1,4
765,4,1
765,3,2
810,4,1
810,3,3
817,1,5
846,1,6
877,1,7
891,1,8
897,1,9
898,1,10
905,4,1
905,4,4
905,4,5
905,3,6
944,4,1
944,4,4
944,4,5
944,3,7
984,1,11
988,4,1
988,4,4
988,3,5
1014,1,12
1023,4,1
1023,4,4
1023,4,8
1023,3,9
1032,1,13
1061,1,14
1070,1,15
1072,4,1
1072,4,4
1072,4,8
1072,3,10
1107,4,1
1107,4,4
1107,4,8
1107,4,11
1107,3,12
1111,1,16
1160,4,1
1160,4,4
1160,4,8
1160,4,11
1160,4,13
1160,4,14
1160,3,15
1165,1,17
1200,1,18
1214,4,1
1214,4,4
1214,4,8
1214,3,11
1259,1,19
1285,4,1
1285,4,4
1285,4,8
1285,4,13
1285,4,14
1285,4,16
1285,4,17
1285,4,18
1285,4,19
1328,1,20
1339,4,1
1339,4,4
1339,4,8
1339,4,13
1339,4,14
1339,4,16
1339,4,17
1339,4,18
1339,3,19
1357,4,1
1357,4,4
1357,4,8
1357,4,13
1357,4,14
1357,4,16
1357,4,17
1357,4,18
1357,4,20
1414,4,1
1414,3,4
1427,1,21
1464,4,1
1464,4,8
1464,4,13
1464,4,14
1464,4,16
1464,4,17
1464,4,18
1464,3,20
1470,1,22
1503,1,23
1555,1,24
1559,4,1
1559,4,8
1559,4,13
1559,4,14
1559,4,16
1559,4,17
1559,4,18
1559,4,21
1559,4,22
1559,3,23
1606,4,1
1606,4,8
1606,4,13
1606,4,14
1606,4,16
1606,4,17
1606,4,18
1606,4,21
1606,4,22
1606,3,24
1613,1,25
1644,4,1
1644,4,8
1644,4,13
1644,3,14
1652,2,1
1678,4,8
1678,4,13
1678,4,16
1678,4,17
1678,3,18
1704,3,8
1739,4,13
1739,4,16
1739,4,17
1739,4,21
1739,4,22
1739,3,25
1780,1,26
1790,1,27
1808,1,28
1819,4,13
1819,4,16
1819,4,17
1819,4,21
1819,4,22
1819,3,26
1854,4,13
1854,4,16
1854,4,17
1854,4,21
1854,4,22
1854,3,27
1891,4,13
1891,4,16
1891,4,17
1891,4,21
1891,4,22
1891,3,28
1925,3,13
1960,1,29
1986,4,16
1986,3,17
2002,1,30
2015,1,31
2030,1,32
2043,4,16
2043,4,21
2043,3,22
2069,1,33
2084,4,16
2084,4,21
2084,3,29
2111,2,16
2142,4,21
2142,3,30
2170,4,21
2170,3,31
2199,1,34
2207,1,35
2208,4,21
2208,3,32
2254,4,21
2254,3,33
2292,4,21
2292,3,34
2297,1,36
